Feature,Time (seconds),Utility,Average Privacy Leakage
Amplitude Envelope,4.400312900543213e-05,0.02051204,0.0242482163453228
RMS,3.2573938369750977e-05,0.03349682,0.0135323004750387
Zero Crossing Rate (ZCR),3.4049153327941895e-05,0.04444924,0.0240629189575691
Short-Term Energy (STE),2.5466084480285645e-05,0.01699951,0.0195026230943433
Temporal Centroid,8.26120376586914e-05,0.02094089,0.0164308341795012
Silence Ratio,3.1381845474243164e-05,0.04805619,0.0202688262423538
Spectral Centroid,0.0003952085971832,0.0277184,0.0231548182038772
Spectral Flatness,0.0003562867641448,0.01687268,0.0199103451304958
Spectral Contrast,0.0003472864627838,0.01782675,0.0669277579878572
Spectral Spread,0.0003190487623214,0.04776779,0.0299083285452344
Spectral Entropy,0.0003364980220794,0.03463078,0.0231764108062168
Spectral Irregularity,0.0003075003623962,0.04201754,0.0169539968575028
Mean,1.1175870895385742e-05,0.01619453,0.0222856122833945
Variance,3.635883331298828e-05,0.04240749,0.0158000375329397
Standard Deviation,3.37064266204834e-05,0.03261259,0.0184745320197789
Kurtosis,0.0004053562879562,0.03534618,0.0404326831509098
Skewness,0.0003114342689514,0.02504333,0.0583072099730905
Entropy,9.746849536895752e-05,0.01876419,0.0156255022118202
Sharpness,0.000280812382698,0.02181544,0.0164596037278809
Timbre,0.0011397302150726,0.02103147,0.0779479025640618
Reverberation,0.0005946010351181,0.0321703,0.0120000493037806
HNR,0.0005763620138168,0.02122547,0.0381962837008676
Jitter,6.414949893951416e-05,0.02052261,0.0174334922471431
Shimmer,2.296268939971924e-05,0.03474432,0.0188861442103488
Group Delay,6.718933582305908e-05,0.01824893,0.0197872726620016
Wavelet Features,0.0002883225679397,0.0289218,0.034412915911671
Temporal Spectral Slope,5.996227264404297e-05,0.02481758,0.0167315764393854
Chroma Features,0.0006590634584426,0.02153416,0.0968053486004921
Low Band Energy,1.9043684005737305e-05,0.02112986,0.0354401446665833
Mid Band Energy,1.2680888175964355e-05,0.03649655,0.018610641066675
High Band Energy,0.0004749596118927,0.01641405,0.0211285714870956
LH1000,0.0004573762416839,0.04151137,0.0169733512803621
Transient-to-Sustained Ratio,2.4646520614624023e-05,0.02650811,0.005345646858864
Tonality Index,0.0002843588590621,0.03344424,0.0216691624648931
Spectral Roughness,0.0003618597984313,0.0065933,0.0208068618209564
Spectral Texture Coefficients,0.0003679394721984,0.01416504,0.0180840807243984
